query_id,row_time,col_time,gap,use_imci,cost_threshold_label,hybrid_optimizer_label,fann_model_label,sqlQuery
103,17.326696,1.182854,16.143842,1,1,1,1,SELECT SUM(corporation.region_no + member.region_no) as agg_0 FROM corporation JOIN region ON corporation.region_no = region.region_no JOIN provider ON region.region_no = provider.region_no JOIN member ON region.region_no = member.region_no JOIN statement ON member.member_no = statement.member_no  WHERE provider.issue_dt NOT LIKE '%10:41:19%' HAVING SUM(corporation.region_no + member.region_no) <= 9.8823;
115,49.932140,5.699354,44.232786,1,1,1,1,"SELECT region.region_name, member.middleinitial, SUM(member.corp_no) as agg_0, COUNT(*) as agg_1, COUNT(*) as agg_2 FROM region JOIN member ON region.region_no = member.region_no JOIN charge ON member.member_no = charge.member_no JOIN statement ON member.member_no = statement.member_no JOIN provider ON region.region_no = provider.region_no JOIN category ON charge.category_no = category.category_no  WHERE (member.expr_dt NOT LIKE '%200%0-10-12%' OR member.expr_dt LIKE '%2000%-10-12%') AND member.curr_balance <= 0.0 AND region.street NOT LIKE '%S%t.%' AND provider.issue_dt NOT LIKE '%10:41:20%' AND region.region_no >= 1.148992586001579 AND charge.charge_amt <= 1684.9913821520504 GROUP BY region.region_name, member.middleinitial ORDER BY region.region_name, member.middleinitial;"
120,22.431922,0.065383,22.366539,1,1,1,1,"SELECT payment.payment_dt, corporation.street, AVG(charge.member_no + charge.category_no) as agg_0, MAX(statement.member_no + statement.statement_no) as agg_1, SUM(charge.charge_no + region.region_no) as agg_2 FROM provider JOIN region ON provider.region_no = region.region_no JOIN corporation ON region.region_no = corporation.region_no JOIN member ON region.region_no = member.region_no JOIN charge ON member.member_no = charge.member_no JOIN statement ON member.member_no = statement.member_no JOIN category ON charge.category_no = category.category_no JOIN payment ON member.member_no = payment.member_no  WHERE corporation.expr_dt != '2004-10-12 10:41:26' AND (member.city = ' ' OR (member.city = ' ' AND member.city = ' ')) AND region.region_name != 'Eastern Europea' AND region.country != 'Ja' AND payment.payment_dt LIKE '%19%99-09-02%' AND category.category_desc = 'Home Supplies' AND charge.category_no <= 8.812863395822273 GROUP BY payment.payment_dt, corporation.street ORDER BY payment.payment_dt, corporation.street;"
133,49.046899,7.936815,41.110085,1,0,1,0,"SELECT category.category_code, region.phone_no, corporation.country, MAX(charge.statement_no + member.prev_balance) as agg_0, MAX(payment.payment_no + provider.region_no) as agg_1 FROM category JOIN charge ON category.category_no = charge.category_no JOIN member ON charge.member_no = member.member_no JOIN statement ON member.member_no = statement.member_no JOIN region ON member.region_no = region.region_no JOIN provider ON region.region_no = provider.region_no JOIN corporation ON region.region_no = corporation.region_no JOIN payment ON member.member_no = payment.member_no  WHERE charge.charge_no <= 1131520.8788111594 AND member.corp_no <= 464.23490730992637 AND provider.city = ' ' AND member.lastname IN ('PAYNTER', 'HAHN', 'YEONG', 'XAVIER', 'NELSON', 'LING', 'BARR', 'TOLSKY', 'ANDERSON') AND payment.payment_dt = '1999-10-03 00:00:00' AND payment.statement_no <= 0.0 AND corporation.expr_dt LIKE '%2004-10-12%' AND region.region_name NOT LIKE '%Euro%pea%' AND payment.member_no <= 5336.952618256113 AND (corporation.street = ' ' OR corporation.city = ' ' OR corporation.street = ' ') AND (provider.street = ' ' OR (provider.street != ' ' AND provider.street != ' ')) GROUP BY category.category_code, region.phone_no, corporation.country ORDER BY category.category_code, region.phone_no, corporation.country;"
261,17.160572,0.610489,16.550083,1,1,1,1,"SELECT member.issue_dt, member.phone_no, member.member_code, COUNT(*) as agg_0 FROM statement JOIN member ON statement.member_no = member.member_no JOIN charge ON member.member_no = charge.member_no JOIN region ON member.region_no = region.region_no JOIN category ON charge.category_no = category.category_no JOIN corporation ON region.region_no = corporation.region_no JOIN payment ON member.member_no = payment.member_no  WHERE payment.payment_dt NOT LIKE '%1999-09-0%2%' AND payment.payment_amt >= 4941.439423498216 AND statement.due_dt NOT LIKE '%1999-10-03%' AND category.category_desc != 'Meals' AND corporation.expr_dt NOT LIKE '%2004-10-12%' AND payment.payment_dt NOT LIKE '%1999-09-02%' AND statement.member_no >= 5931.117381465215 AND (region.state_prov = 'ON' OR region.state_prov != 'ON' OR region.state_prov != 'ON') AND statement.statement_dt NOT LIKE '%1999-08%-13%' GROUP BY member.issue_dt, member.phone_no, member.member_code ORDER BY member.issue_dt, member.phone_no, member.member_code;"
272,12.262520,0.575400,11.687119,1,1,1,1,"SELECT member.mail_code, statement.statement_dt, member.phone_no, MAX(charge.statement_no) as agg_0 FROM category JOIN charge ON category.category_no = charge.category_no JOIN member ON charge.member_no = member.member_no JOIN payment ON member.member_no = payment.member_no JOIN statement ON member.member_no = statement.member_no  WHERE charge.statement_no <= 7838.156587269465 AND member.city = ' ' AND (payment.payment_no >= 5583.799701522753 OR payment.payment_dt LIKE '%1999-09-02%') GROUP BY member.mail_code, statement.statement_dt, member.phone_no ORDER BY member.mail_code, statement.statement_dt, member.phone_no LIMIT 10;"
335,34.503333,2.760295,31.743038,1,1,1,1,"SELECT COUNT(*) as agg_0, SUM(charge.category_no + charge.statement_no) as agg_1 FROM charge JOIN member ON charge.member_no = member.member_no JOIN category ON charge.category_no = category.category_no JOIN region ON member.region_no = region.region_no JOIN corporation ON region.region_no = corporation.region_no  WHERE region.city != 'Budapest';"
357,37.503810,0.109881,37.393929,1,1,1,0,"SELECT corporation.corp_code, MIN(charge.charge_no) as agg_0 FROM payment JOIN member ON payment.member_no = member.member_no JOIN charge ON member.member_no = charge.member_no JOIN category ON charge.category_no = category.category_no JOIN region ON member.region_no = region.region_no JOIN corporation ON region.region_no = corporation.region_no JOIN provider ON region.region_no = provider.region_no JOIN statement ON member.member_no = statement.member_no  WHERE (region.street = '444 Fourth St.' OR region.street LIKE '%St%.%' OR region.street = '999 Ninth St.') AND statement.due_dt = '1999-10-03 00:00:00' AND payment.payment_dt NOT LIKE '%1999-09-02%' AND member.street = ' ' AND statement.statement_no >= 845.6071104899161 AND (member.city != ' ' OR member.curr_balance >= 0.0 OR member.city = ' ') AND corporation.city != ' ' AND charge.charge_amt >= 2636.3810104195395 AND statement.member_no <= 3126.797843712096 AND provider.city = ' ' AND corporation.street != ' ' GROUP BY corporation.corp_code HAVING MIN(charge.charge_no) >= 1175000.5 ORDER BY corporation.corp_code;"
401,14.307205,0.151925,14.155280,1,1,1,1,"SELECT corporation.country, corporation.city, COUNT(*) as agg_0, AVG(charge.charge_amt + payment.statement_no) as agg_1, MAX(charge.charge_amt) as agg_2 FROM charge JOIN member ON charge.member_no = member.member_no JOIN category ON charge.category_no = category.category_no JOIN region ON member.region_no = region.region_no JOIN provider ON region.region_no = provider.region_no JOIN payment ON member.member_no = payment.member_no JOIN statement ON member.member_no = statement.member_no JOIN corporation ON region.region_no = corporation.region_no  WHERE (provider.city != ' ' OR (provider.city = ' ' AND provider.city != ' ')) AND member.expr_dt IN ('2000-10-12 10:41:55', '2000-10-12 10:41:48', '2000-10-12 10:42:51', '2000-10-12 10:42:08', '2000-10-12 10:41:44', '2000-10-12 10:42:45', '2000-10-12 10:42:34', '2000-10-12 10:41:49') AND member.expr_dt LIKE '%200%0-10-12%' AND (member.street = ' ' OR member.street != ' ' OR member.street = ' ') GROUP BY corporation.country, corporation.city HAVING COUNT(*) != 0 ORDER BY corporation.country, corporation.city;"
486,16.927027,6.607293,10.319734,1,1,1,0,"SELECT region.phone_no, MAX(member.corp_no) as agg_0, SUM(member.curr_balance + statement.member_no) as agg_1 FROM charge JOIN category ON charge.category_no = category.category_no JOIN member ON charge.member_no = member.member_no JOIN payment ON member.member_no = payment.member_no JOIN region ON member.region_no = region.region_no JOIN provider ON region.region_no = provider.region_no JOIN corporation ON region.region_no = corporation.region_no JOIN statement ON member.member_no = statement.member_no  WHERE member.lastname IN ('NELSON', 'VANN', 'HAHN', 'YEONG', 'ZUCKER', 'LING', 'DORR') AND member.prev_balance <= 0.0 AND category.category_desc != 'Meals' AND (payment.payment_no <= 2668.318472745217 OR payment.payment_no >= 13903.358065738332 OR payment.payment_no >= 14453.595385551644) AND corporation.city = ' ' AND charge.charge_amt >= 1987.226220401893 AND payment.member_no <= 5247.310132573264 AND (region.region_no >= 5.55927268296482 OR (region.region_no <= 4.033207544618217 AND region.region_no >= 1.256731042900502)) AND region.street NOT LIKE '%St%' GROUP BY region.phone_no ORDER BY region.phone_no;"
