query_id,row_time,col_time,gap,use_imci,cost_threshold_label,hybrid_optimizer_label,fann_model_label,sqlQuery
21,48.334751,5.734429,42.600322,1,1,1,1,"SELECT AVG(transfer.sourceID + transfer.amount) as agg_0, SUM(transfer.targetID + transfer.amount) as agg_1 FROM transfer  WHERE transfer.type = 'salary';"
30,109.910893,50.121428,59.789464,1,1,1,1,"SELECT MIN(checkingAccount.userID + savingAccount.balance) as agg_0, SUM(checking.id + customer.custID) as agg_1, SUM(loantrans.duration) as agg_2 FROM loanapps JOIN loantrans ON loanapps.id = loantrans.appID JOIN customer ON loantrans.applicantID = customer.custID JOIN transfer ON customer.custID = transfer.targetID JOIN checkingAccount ON customer.custID = checkingAccount.userID JOIN savingAccount ON customer.custID = savingAccount.userID JOIN company ON customer.companyID = company.companyID JOIN checking ON customer.custID = checking.targetID  WHERE checkingAccount.Isblocked <= 0.0;"
34,181.512348,11.146779,170.365569,1,1,1,1,"SELECT checking.type, loanapps.status, AVG(checkingAccount.userID + company.staff_size) as agg_0, MIN(company.loan_balance) as agg_1 FROM checking JOIN customer ON checking.sourceID = customer.custID JOIN transfer ON customer.custID = transfer.targetID JOIN company ON customer.companyID = company.companyID JOIN checkingAccount ON customer.custID = checkingAccount.userID JOIN savingAccount ON customer.custID = savingAccount.userID JOIN loantrans ON customer.custID = loantrans.applicantID JOIN loanapps ON loantrans.appID = loanapps.id  WHERE checkingAccount.Isblocked >= 0.0 AND transfer.amount >= 13.281225672310189 AND customer.gender NOT LIKE '%female%' AND checkingAccount.balance >= 2000.0 AND loantrans.status != 'accept' GROUP BY checking.type, loanapps.status ORDER BY checking.type, loanapps.status;"
39,28.425648,0.047688,28.377960,1,1,1,1,"SELECT customer.city, loanapps.status, company.name, COUNT(*) as agg_0, COUNT(*) as agg_1 FROM loanapps JOIN customer ON loanapps.applicantID = customer.custID JOIN loantrans ON customer.custID = loantrans.applicantID JOIN checking ON customer.custID = checking.targetID JOIN checkingAccount ON customer.custID = checkingAccount.userID JOIN savingAccount ON customer.custID = savingAccount.userID JOIN company ON customer.companyID = company.companyID  WHERE company.last_update_timestamp = '2018-03-30 07:13:06.874' AND loantrans.amount >= 19383.913836939595 GROUP BY customer.city, loanapps.status, company.name ORDER BY customer.city, loanapps.status, company.name;"
41,233.199692,41.802392,191.397300,1,1,1,1,"SELECT company.phone, MAX(company.saving_credit + checkingAccount.userID) as agg_0 FROM checkingAccount JOIN customer ON checkingAccount.userID = customer.custID JOIN loanapps ON customer.custID = loanapps.applicantID JOIN checking ON customer.custID = checking.targetID JOIN savingAccount ON customer.custID = savingAccount.userID JOIN transfer ON customer.custID = transfer.sourceID JOIN loantrans ON loanapps.id = loantrans.appID JOIN company ON customer.companyID = company.companyID  WHERE transfer.type NOT LIKE '%tran%sfer%' AND customer.gender IN ('male', 'female') GROUP BY company.phone ORDER BY company.phone;"
44,128.555744,26.529834,102.025911,1,1,1,1,"SELECT company.city, company.province, COUNT(*) as agg_0, COUNT(*) as agg_1, AVG(savingAccount.accountID) as agg_2 FROM savingAccount JOIN customer ON savingAccount.userID = customer.custID JOIN company ON customer.companyID = company.companyID JOIN transfer ON customer.custID = transfer.targetID JOIN loanapps ON customer.custID = loanapps.applicantID  WHERE transfer.amount >= 0.033743960064810175 AND company.saving_credit >= 0.0 AND customer.loan_credit <= 0.0 GROUP BY company.city, company.province ORDER BY company.city, company.province;"
48,78.706806,9.651393,69.055413,1,1,1,1,"SELECT company.province, checking.type, transfer.type, MAX(checking.id) as agg_0 FROM savingAccount JOIN customer ON savingAccount.userID = customer.custID JOIN loanapps ON customer.custID = loanapps.applicantID JOIN loantrans ON customer.custID = loantrans.applicantID JOIN company ON customer.companyID = company.companyID JOIN transfer ON customer.custID = transfer.sourceID JOIN checkingAccount ON customer.custID = checkingAccount.userID JOIN checking ON customer.custID = checking.sourceID  WHERE transfer.amount <= 1.2382570424721606 AND loantrans.duration <= 114.49844344953564 GROUP BY company.province, checking.type, transfer.type ORDER BY company.province, checking.type, transfer.type;"
56,82.691577,10.742982,71.948595,1,1,0,1,"SELECT MIN(company.loan_credit + company.checking_credit) as agg_0, MAX(loantrans.duration) as agg_1 FROM checking JOIN customer ON checking.sourceID = customer.custID JOIN company ON customer.companyID = company.companyID JOIN checkingAccount ON customer.custID = checkingAccount.userID JOIN savingAccount ON customer.custID = savingAccount.userID JOIN transfer ON customer.custID = transfer.sourceID JOIN loantrans ON customer.custID = loantrans.applicantID JOIN loanapps ON loantrans.appID = loanapps.id  WHERE (savingAccount.accountID <= 15459.322827003314 OR savingAccount.accountID >= 129044.54860043229 OR savingAccount.accountID <= 288315.5159522168) AND loantrans.status IN ('reject', 'accept') AND company.category NOT LIKE '%computer_communic%ation_manufacturing%' AND checking.type NOT LIKE '%transfe%r%' AND company.saving_credit <= 0.0 AND (customer.province = 'Hainan' OR customer.loan_credit >= 0.0) AND customer.saving_credit >= 0.0 AND transfer.amount >= 6.6290162546752756 AND (loantrans.delinquency >= 0.0 OR (loantrans.delinquency >= 0.0 AND loantrans.delinquency <= 0.0)) AND loanapps.status = 'accept' HAVING MIN(company.loan_credit + company.checking_credit) != 0.0;"
66,107.917661,8.551340,99.366321,1,1,1,1,"SELECT transfer.fresh_ts, AVG(loanapps.duration) as agg_0, COUNT(*) as agg_1 FROM loanapps JOIN loantrans ON loanapps.id = loantrans.appID JOIN customer ON loantrans.applicantID = customer.custID JOIN company ON customer.companyID = company.companyID JOIN transfer ON customer.custID = transfer.targetID  WHERE customer.Isblocked >= 0.0 AND loanapps.status IN ('accept', 'reject') GROUP BY transfer.fresh_ts ORDER BY transfer.fresh_ts;"
88,136.012833,24.323266,111.689567,1,1,1,1,"SELECT transfer.fresh_ts, transfer.type, MIN(customer.Isblocked) as agg_0, MAX(customer.companyID + customer.Isblocked) as agg_1, MIN(checkingAccount.balance + checkingAccount.Isblocked) as agg_2 FROM transfer JOIN customer ON transfer.targetID = customer.custID JOIN checkingAccount ON customer.custID = checkingAccount.userID JOIN loanapps ON customer.custID = loanapps.applicantID  WHERE loanapps.id >= 270372.1096322377 GROUP BY transfer.fresh_ts, transfer.type ORDER BY transfer.fresh_ts, transfer.type;"
91,28.198355,0.088456,28.109899,1,1,1,1,"SELECT customer.gender, customer.province, checking.type, MAX(loantrans.applicantID + checking.id) as agg_0, SUM(checkingAccount.balance + savingAccount.accountID) as agg_1 FROM checkingAccount JOIN customer ON checkingAccount.userID = customer.custID JOIN checking ON customer.custID = checking.sourceID JOIN loanapps ON customer.custID = loanapps.applicantID JOIN savingAccount ON customer.custID = savingAccount.userID JOIN company ON customer.companyID = company.companyID JOIN transfer ON customer.custID = transfer.sourceID JOIN loantrans ON loanapps.id = loantrans.appID  WHERE customer.name NOT LIKE '%Yi%mo%' AND transfer.amount <= 5.968098032006129 AND (loanapps.status != 'reject' OR (loanapps.amount <= 42923.25710390483 AND loanapps.status = 'under_review')) AND transfer.sourceID <= 203890.69768879368 AND loantrans.loantrans_ts NOT LIKE '%202%3-10-19%' AND customer.city NOT LIKE '%Be%ijing%' AND savingAccount.balance <= 2000.0 AND checking.type IN ('business', 'salary', 'transfer', 'service', 'red_packet') AND (loanapps.status IN ('reject', 'accept', 'under_review') OR loanapps.amount >= 116572.70002111842 OR loanapps.status IN ('under_review')) AND transfer.type != 'transfer' AND loanapps.id >= 536960.9578738888 AND company.province IN ('Hebei') AND company.phone = '18961501733' AND customer.gender NOT LIKE '%female%' AND checkingAccount.balance <= 2000.0 AND savingAccount.Isblocked <= 0.0 AND checkingAccount.accountID <= 231593.13590752438 GROUP BY customer.gender, customer.province, checking.type ORDER BY customer.gender, customer.province, checking.type;"
108,68.947140,21.133142,47.813998,1,1,1,1,"SELECT loantrans.status, company.created_date, AVG(customer.custID + checking.id) as agg_0 FROM transfer JOIN customer ON transfer.targetID = customer.custID JOIN loantrans ON customer.custID = loantrans.applicantID JOIN checking ON customer.custID = checking.sourceID JOIN loanapps ON loantrans.appID = loanapps.id JOIN savingAccount ON customer.custID = savingAccount.userID JOIN checkingAccount ON customer.custID = checkingAccount.userID JOIN company ON customer.companyID = company.companyID  WHERE customer.Isblocked <= 0.0 AND (loanapps.duration <= 300.47672038037047 OR loanapps.amount <= 192100.4172011526) GROUP BY loantrans.status, company.created_date HAVING AVG(customer.custID + checking.id) != 450001.0 ORDER BY loantrans.status, company.created_date;"
116,55.287213,1.970465,53.316748,1,1,1,1,"SELECT company.phone, MIN(company.saving_credit + customer.age) as agg_0 FROM savingAccount JOIN customer ON savingAccount.userID = customer.custID JOIN loanapps ON customer.custID = loanapps.applicantID JOIN loantrans ON loanapps.id = loantrans.appID JOIN company ON customer.companyID = company.companyID JOIN checking ON customer.custID = checking.targetID  WHERE company.province IN ('Hunan', 'Henan', 'Ningxia', 'Heilongjiang', 'Shandong') OR company.province LIKE '%T%ianjin%' GROUP BY company.phone ORDER BY company.phone;"
117,146.369406,49.707029,96.662377,1,1,1,1,"SELECT customer.gender, company.category, AVG(loantrans.amount + loantrans.delinquency) as agg_0, MIN(checkingAccount.Isblocked) as agg_1 FROM loantrans JOIN loanapps ON loantrans.appID = loanapps.id JOIN customer ON loantrans.applicantID = customer.custID JOIN checkingAccount ON customer.custID = checkingAccount.userID JOIN checking ON customer.custID = checking.targetID JOIN company ON customer.companyID = company.companyID JOIN transfer ON customer.custID = transfer.sourceID JOIN savingAccount ON customer.custID = savingAccount.userID  WHERE checkingAccount.balance >= 2000.0 GROUP BY customer.gender, company.category ORDER BY customer.gender, company.category;"
123,22.165743,0.594105,21.571638,1,1,1,1,"SELECT transfer.type, customer.name, MAX(transfer.amount + transfer.sourceID) as agg_0 FROM loantrans JOIN loanapps ON loantrans.appID = loanapps.id JOIN customer ON loanapps.applicantID = customer.custID JOIN transfer ON customer.custID = transfer.sourceID  WHERE customer.Isblocked >= 0.0 AND loanapps.amount <= 16366.385238445326 AND customer.gender LIKE '%mal%e%' AND transfer.type LIKE '%red%_packet%' AND loanapps.status = 'accept' AND customer.checking_credit <= 0.0 AND loanapps.status NOT LIKE '%accept%' AND customer.province IN ('Chongqing', 'Liaoning', 'Tibet') AND transfer.type NOT LIKE '%tra%nsfer%' GROUP BY transfer.type, customer.name ORDER BY transfer.type, customer.name;"
124,21.452001,0.285437,21.166564,1,1,0,1,"SELECT SUM(loanapps.amount + loanapps.id) as agg_0 FROM transfer JOIN customer ON transfer.targetID = customer.custID JOIN savingAccount ON customer.custID = savingAccount.userID JOIN loanapps ON customer.custID = loanapps.applicantID JOIN loantrans ON loanapps.id = loantrans.appID  WHERE (loanapps.duration <= 183.24185624700488 OR loanapps.duration <= 91.62219806471558) AND transfer.targetID >= 186641.14069199763 AND loantrans.duration >= 60.0 AND savingAccount.Isblocked <= 0.0 AND customer.city IN ('Nantong', 'Suzhou', 'Mudanjiang', 'Bijie', 'Linyi', 'Dandong', 'Kaifeng') AND transfer.type = 'salary' AND loantrans.delinquency >= 0.0 AND (savingAccount.accountID >= 123728.82436054687 OR (savingAccount.accountID >= 179127.21931608277 AND savingAccount.accountID >= 274896.61422199116)) AND customer.name = 'Xu Min' AND loantrans.status IN ('under_review', 'accept') AND loanapps.status LIKE '%under_r%eview%';"
