query_id,query_length,num_tables,num_joins,query_depth,complexity_score,has_aggregates,has_group_by,has_order_by,has_limit,has_distinct,has_window_functions,has_outer_joins,estimated_join_complexity,has_subqueries,has_correlated_subqueries,has_large_tables,all_tables_small,has_complex_expressions,has_user_functions,has_text_operations,has_numeric_heavy_ops,num_aggregate_funcs,analytical_pattern,transactional_pattern,etl_pattern,command_type,pg_time_ms,duck_time_ms,best_engine
5892318442026647088,413,4,3,1,4,1,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,3,1,0,0,0,-1,-1,unknown
1,539,2,1,1,5,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,-1,unknown
2,427,1,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,-1,-1,unknown
3,444,2,1,1,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,-1,-1,unknown
4,255,2,1,1,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,1,0,0,0,-1,-1,unknown
5,540,5,4,1,5,1,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,3,1,0,0,0,-1,-1,unknown
6,379,5,4,1,3,0,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,unknown
7,287,3,2,1,2,1,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,2,1,0,0,0,-1,-1,unknown
8,363,2,1,1,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,1,0,0,0,-1,-1,unknown
9,521,4,3,1,5,1,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,-1,unknown
7385232686530462481,413,4,3,1,4,1,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,3,1,0,0,0,410.91889701783657,103.7485389970243,duckdb
1,539,2,1,1,5,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,-1,unknown
2,427,1,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,3.814785974100232,14.958788000512868,postgres
