query_id,query_length,num_tables,num_joins,query_depth,complexity_score,has_aggregates,has_group_by,has_order_by,has_limit,has_distinct,has_window_functions,has_outer_joins,estimated_join_complexity,has_subqueries,has_correlated_subqueries,has_large_tables,all_tables_small,has_complex_expressions,has_user_functions,has_text_operations,has_numeric_heavy_ops,num_aggregate_funcs,analytical_pattern,transactional_pattern,etl_pattern,command_type,pg_time_ms,duck_time_ms,optimal_engine
Credit_7425,379,5,4,1,3,0,0,0,0,0,0,1,8,0,0,0,0,0,0,1,1,0,0,0,0,0,-1,-1,unknown
Credit_6903,353,5,4,4,3,1,0,0,0,0,0,1,8,0,0,0,0,0,0,0,1,2,0,0,0,0,-1,-1,unknown
Credit_6628,437,5,4,3,4,1,0,0,0,0,0,1,8,0,0,0,0,0,0,1,1,2,0,0,0,0,-1,-1,unknown
Credit_5627,334,2,1,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
Credit_1247,250,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
Credit_3085,153,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
Credit_3743,414,5,4,5,4,1,0,1,1,0,0,1,8,0,0,0,0,0,0,1,1,3,0,1,0,0,4.769263090565801,86.74367098137736,postgres
Credit_3376,370,3,2,1,3,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,-1,-1,unknown
Credit_694,363,4,3,5,3,1,0,1,1,0,0,1,6,0,0,0,0,0,0,0,1,2,0,1,0,0,13499.134356970899,2256.4065610058606,duckdb
Credit_6975,372,3,2,0,3,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0.41721994057297707,37.173966062255204,postgres
Credit_1244,161,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9602499194443226,13.216870953328907,postgres
Credit_353,226,1,0,5,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,-1,-1,unknown
Credit_6192,293,1,0,4,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,-1,-1,unknown
Credit_8406,288,2,1,0,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,8.199802949093282,76.2572520179674,postgres
Credit_1141,436,4,3,5,4,1,1,0,1,0,0,1,6,0,0,0,0,0,0,1,1,3,0,1,0,0,55.555764003656805,68.69505904614925,postgres
Credit_3493,359,1,0,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0.5447020521387458,25.052626966498792,postgres
