query_id,query_length,num_tables,num_joins,query_depth,complexity_score,has_aggregates,has_group_by,has_order_by,has_limit,has_distinct,has_window_functions,has_outer_joins,estimated_join_complexity,has_subqueries,has_correlated_subqueries,has_large_tables,all_tables_small,has_complex_expressions,has_user_functions,has_text_operations,has_numeric_heavy_ops,num_aggregate_funcs,analytical_pattern,transactional_pattern,etl_pattern,command_type,pg_time_ms,duck_time_ms,optimal_engine
Hepatitis_std_1881,119,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
Hepatitis_std_8034,231,2,1,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
Hepatitis_std_7197,467,5,4,5,4,1,0,1,0,0,0,1,8,0,0,0,0,0,0,0,1,2,0,0,0,0,-1,-1,unknown
Hepatitis_std_7471,271,4,3,1,2,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,unknown
Hepatitis_std_3525,215,3,2,1,2,1,0,0,1,0,0,1,4,0,0,0,0,0,0,1,1,1,0,1,0,0,0.9332880144938827,64.33343701064587,postgres
Hepatitis_std_9377,138,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
Hepatitis_std_5732,101,1,0,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.6919850129634142,3.977930056862533,postgres
Hepatitis_std_4971,228,2,1,0,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
Hepatitis_std_5526,265,2,1,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
Hepatitis_std_2842,107,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
Hepatitis_std_2627,304,4,3,3,3,1,0,1,1,0,0,1,6,0,0,0,0,0,0,1,1,1,0,1,0,0,-1,-1,unknown
Hepatitis_std_4344,334,3,2,5,3,1,0,1,1,0,0,1,4,0,0,0,0,0,0,0,1,2,0,1,0,0,-1,-1,unknown
Hepatitis_std_9607,107,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.37061795592308044,2.096981042996049,postgres
Hepatitis_std_6600,148,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
Hepatitis_std_2755,72,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2978770062327385,2.082259044982493,postgres
Hepatitis_std_4929,188,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
Hepatitis_std_8070,171,2,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5412530153989792,4.265533993020654,postgres
Hepatitis_std_5258,259,5,4,3,2,1,0,1,0,0,0,0,8,0,0,0,0,0,0,0,1,2,0,0,0,0,-1,-1,unknown
Hepatitis_std_3280,189,1,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0.33729407005012035,3.6055539967492223,postgres
Hepatitis_std_9477,217,1,0,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4,0,1,0,0,-1,-1,unknown
Hepatitis_std_3029,140,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
Hepatitis_std_9755,215,2,1,0,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5012300098314881,5.619543022476137,postgres
Hepatitis_std_7664,245,2,1,0,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0.45656401198357344,5.186129943467677,postgres
Hepatitis_std_1859,229,3,2,4,2,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,2,1,0,0,0,198.83056997787207,19.506249926052988,duckdb
Hepatitis_std_2956,257,5,4,1,2,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,unknown
Hepatitis_std_7713,374,3,2,4,3,1,0,1,1,0,0,1,4,0,0,0,0,0,0,1,0,3,0,1,0,0,-1,-1,unknown
Hepatitis_std_8684,266,1,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.22740894928574562,5.78326394315809,postgres
Hepatitis_std_8435,96,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3441279986873269,2.5312199722975492,postgres
Hepatitis_std_4036,221,1,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,3.372575039975345,18.63301801495254,postgres
Hepatitis_std_8886,89,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.24346099235117435,13.755536987446249,postgres
Hepatitis_std_7915,278,2,1,4,2,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,3,0,1,0,0,-1,-1,unknown
Hepatitis_std_3650,353,3,2,2,3,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,-1,-1,unknown
Hepatitis_std_5265,164,3,2,2,1,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,16837.880300008692,779.9603759776801,duckdb
Hepatitis_std_653,313,4,3,5,3,1,1,0,0,0,0,1,6,0,0,0,0,0,0,0,1,3,1,0,0,0,-1,-1,unknown
Hepatitis_std_7698,157,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
Hepatitis_std_8269,492,4,3,5,4,1,1,0,1,0,0,0,6,0,0,0,0,0,0,1,1,2,1,1,0,0,-1,-1,unknown
Hepatitis_std_6248,162,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
Hepatitis_std_4722,89,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7166739087551832,19.252435071393847,postgres
Hepatitis_std_2557,242,2,1,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3676479682326317,2.2132990416139364,postgres
Hepatitis_std_8109,118,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
Hepatitis_std_6792,124,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
Hepatitis_std_8265,332,1,0,2,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,-1,-1,unknown
Hepatitis_std_696,87,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24993903934955597,16.410174896009266,postgres
Hepatitis_std_8234,224,1,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0.3607360413298011,1.8494600662961602,postgres
Hepatitis_std_1246,85,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2743250224739313,17.22508203238249,postgres
