query_id,query_length,num_tables,num_joins,query_depth,complexity_score,has_aggregates,has_group_by,has_order_by,has_limit,has_distinct,has_window_functions,has_outer_joins,estimated_join_complexity,has_subqueries,has_correlated_subqueries,has_large_tables,all_tables_small,has_complex_expressions,has_user_functions,has_text_operations,has_numeric_heavy_ops,num_aggregate_funcs,analytical_pattern,transactional_pattern,etl_pattern,command_type,pg_time_ms,duck_time_ms,optimal_engine
financial_9235,404,5,4,3,4,1,0,1,0,0,0,0,8,0,0,0,0,0,0,1,1,2,0,0,0,0,-1,-1,unknown
financial_839,270,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
financial_2304,619,5,4,5,6,1,1,1,0,0,0,0,8,0,0,0,0,0,0,1,1,3,0,0,0,0,1.6902940114960074,69.57082694862038,postgres
financial_9295,215,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
financial_3563,210,4,3,5,2,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,1,3,0,0,0,0,-1,-1,unknown
financial_3091,336,2,1,3,3,1,1,1,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,1.359939924441278,3.640664042904973,postgres
financial_1271,273,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
financial_2949,272,4,3,5,2,1,1,0,1,0,0,0,6,0,0,0,0,0,0,0,1,4,1,1,0,0,-1,-1,unknown
financial_0,346,4,3,3,3,1,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,2,0,0,0,0,-1,-1,unknown
financial_8639,75,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.24763902183622122,11.181485024280846,postgres
financial_3847,256,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
financial_162,169,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
financial_8922,401,5,4,5,4,1,0,0,0,0,0,0,8,0,0,0,0,0,0,1,1,2,0,0,0,0,-1,-1,unknown
financial_3582,240,1,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.9862900478765368,20.126597955822945,postgres
financial_1518,183,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0791529202833772,2.2041259799152613,postgres
financial_6337,240,3,2,3,2,1,0,1,0,0,0,1,4,0,0,0,0,0,0,0,1,2,0,0,0,0,127.1983030019328,43.72660594526678,duckdb
financial_6199,119,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.37899508606642485,17.570722964592278,postgres
financial_8569,76,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.22113800514489412,14.864542055875063,postgres
financial_3246,243,5,4,1,2,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,unknown
