query_id,query_length,num_tables,num_joins,query_depth,complexity_score,has_aggregates,has_group_by,has_order_by,has_limit,has_distinct,has_window_functions,has_outer_joins,estimated_join_complexity,has_subqueries,has_correlated_subqueries,has_large_tables,all_tables_small,has_complex_expressions,has_user_functions,has_text_operations,has_numeric_heavy_ops,num_aggregate_funcs,analytical_pattern,transactional_pattern,etl_pattern,command_type,pg_time_ms,duck_time_ms,optimal_engine
geneea_8940,477,2,1,5,4,1,1,1,0,0,0,0,2,0,0,0,0,0,0,1,1,3,0,0,0,0,-1,-1,unknown
geneea_6179,364,5,4,1,3,0,1,0,0,0,0,0,8,0,0,0,0,0,0,1,1,0,0,0,0,0,-1,-1,unknown
geneea_3454,87,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.29398698825389147,14.704564004205167,postgres
geneea_6642,615,5,4,2,6,1,1,1,1,0,0,0,8,0,0,0,0,0,0,0,0,2,0,1,0,0,0.686215003952384,57.41087603382766,postgres
geneea_9319,138,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.28373999521136284,12.46746489778161,postgres
geneea_1815,208,1,0,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1.6130020376294851,4.682243103161454,postgres
geneea_5755,283,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
geneea_9974,308,1,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
geneea_1290,385,3,2,5,3,1,0,1,0,0,0,1,4,0,0,0,0,0,0,1,1,4,0,0,0,0,1.0078209452331066,10.464416001923382,postgres
geneea_7484,349,2,1,5,3,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,3,0,0,0,0,-1,-1,unknown
geneea_7238,254,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
geneea_464,325,1,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
geneea_6178,256,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
geneea_665,470,5,4,5,4,1,1,1,1,0,0,0,8,0,0,0,0,0,0,1,1,2,0,1,0,0,-1,-1,unknown
geneea_3603,229,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
geneea_7033,51,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21845509763807058,17.310056020505726,postgres
geneea_4534,70,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23821601644158363,15.396226081065834,postgres
geneea_7546,285,3,2,4,2,1,0,0,1,0,0,1,4,0,0,0,0,0,0,0,1,2,0,1,0,0,-1,-1,unknown
geneea_1545,264,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
geneea_3410,293,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
geneea_7217,235,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
geneea_3795,443,3,2,3,4,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,2,0,0,0,0,-1,-1,unknown
geneea_6527,183,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,80.58560302015394,2.7158550219610333,duckdb
geneea_3597,98,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3172400174662471,17.442131065763533,postgres
geneea_3688,175,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1.9262030255049467,18.382420064881444,postgres
geneea_6034,264,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.9118360467255116,21.645291009917855,postgres
geneea_2264,151,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3314079949632287,4.836393985897303,postgres
geneea_7145,241,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
geneea_3263,229,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
geneea_4830,139,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.8733049035072327,16.99781301431358,postgres
geneea_6154,179,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,unknown
geneea_913,162,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3088189987465739,12.961909989826381,postgres
geneea_1925,223,2,1,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2690209075808525,2.365115098655224,postgres
geneea_2626,347,1,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
geneea_386,684,5,4,3,6,1,1,1,0,0,0,0,8,0,0,0,0,0,0,0,1,2,0,0,0,0,-1,-1,unknown
geneea_810,262,2,1,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
geneea_9134,218,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
geneea_3565,312,1,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
