query_id,query_length,num_tables,num_joins,query_depth,complexity_score,has_aggregates,has_group_by,has_order_by,has_limit,has_distinct,has_window_functions,has_outer_joins,estimated_join_complexity,has_subqueries,has_correlated_subqueries,has_large_tables,all_tables_small,has_complex_expressions,has_user_functions,has_text_operations,has_numeric_heavy_ops,num_aggregate_funcs,analytical_pattern,transactional_pattern,etl_pattern,command_type,pg_time_ms,duck_time_ms,optimal_engine
tpch_sf1_6727,389,2,1,4,3,1,1,1,1,0,0,0,2,0,0,0,0,0,0,1,1,3,1,1,0,0,413.1529669975862,338.3878309978172,duckdb
tpch_sf1_4575,119,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.35708898212760687,15.977825038135052,postgres
tpch_sf1_3898,589,5,4,5,5,1,0,0,0,0,0,0,8,0,0,0,0,0,0,1,1,3,0,0,0,0,0.9782100096344948,36.05428896844387,postgres
tpch_sf1_7622,339,2,1,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7698159897699952,23.307009018026292,postgres
tpch_sf1_4992,151,2,1,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,5822.759087081067,556.1880320310593,duckdb
tpch_sf1_2415,234,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
tpch_sf1_4678,410,2,1,0,4,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
tpch_sf1_5053,192,2,1,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,-1,unknown
tpch_sf1_8860,341,1,0,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.36237703170627356,14.34864301700145,postgres
tpch_sf1_711,308,5,4,3,3,1,0,1,0,0,0,1,8,0,0,0,0,0,0,0,1,3,0,0,0,0,-1,-1,unknown
tpch_sf1_5234,302,2,1,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
tpch_sf1_7353,412,4,3,5,4,1,1,1,0,0,0,0,6,0,0,0,0,0,0,0,1,4,1,0,0,0,-1,-1,unknown
tpch_sf1_7988,118,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.30203897040337324,11.781192035414279,postgres
tpch_sf1_54,161,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
tpch_sf1_4057,504,3,2,0,5,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3661940572783351,2.618950908072293,postgres
tpch_sf1_7487,297,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,-1,-1,unknown
tpch_sf1_9863,469,5,4,2,4,1,0,0,0,0,0,0,8,0,0,0,0,0,0,1,1,1,0,0,0,0,-1,-1,unknown
tpch_sf1_3733,160,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.21189393009990454,1.4681839384138584,postgres
tpch_sf1_5098,227,1,0,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,100.24113196413964,268.3484429726377,postgres
tpch_sf1_1066,524,3,2,0,5,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,3.2102479599416256,205.19336697179824,postgres
tpch_sf1_3490,418,5,4,5,4,1,0,1,0,0,0,0,8,0,0,0,0,0,0,0,1,3,0,0,0,0,-1,-1,unknown
tpch_sf1_7184,420,3,2,5,4,1,1,0,1,0,0,0,4,0,0,0,0,0,0,0,1,3,1,1,0,0,3164.9750859942287,368.313996004872,duckdb
tpch_sf1_4619,109,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3136290470138192,12.085473979823291,postgres
tpch_sf1_6273,497,3,2,5,4,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,2,1,0,0,0,-1,-1,unknown
tpch_sf1_911,320,4,3,5,3,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,1,2,0,1,0,0,1499.5263119926676,43.30853500869125,duckdb
tpch_sf1_2261,307,2,1,0,3,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
