query_id,query_length,num_tables,num_joins,query_depth,complexity_score,has_aggregates,has_group_by,has_order_by,has_limit,has_distinct,has_window_functions,has_outer_joins,estimated_join_complexity,has_subqueries,has_correlated_subqueries,has_large_tables,all_tables_small,has_complex_expressions,has_user_functions,has_text_operations,has_numeric_heavy_ops,num_aggregate_funcs,analytical_pattern,transactional_pattern,etl_pattern,command_type,pg_time_ms,duck_time_ms,optimal_engine
Airline_140,210,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
Airline_9451,335,2,1,2,3,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1.5125040663406253,48.320437083020806,postgres
Airline_5715,246,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
Airline_8243,470,2,1,5,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,-1,-1,unknown
Airline_7274,207,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,unknown
Airline_1648,228,1,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0.3640990471467376,18.744321074336767,postgres
Airline_3146,134,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
Airline_1907,124,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9274519979953766,10.4876869590953,postgres
Airline_427,326,2,1,1,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,-1,-1,unknown
Airline_5828,423,4,3,5,4,1,0,1,0,0,0,0,6,0,0,0,0,0,0,1,1,3,0,0,0,0,-1,-1,unknown
