query_id,query_length,num_tables,num_joins,query_depth,complexity_score,has_aggregates,has_group_by,has_order_by,has_limit,has_distinct,has_window_functions,has_outer_joins,estimated_join_complexity,has_subqueries,has_correlated_subqueries,has_large_tables,all_tables_small,has_complex_expressions,has_user_functions,has_text_operations,has_numeric_heavy_ops,num_aggregate_funcs,analytical_pattern,transactional_pattern,etl_pattern,command_type,pg_time_ms,duck_time_ms,optimal_engine
Credit_9524,246,2,1,3,2,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,-1,-1,unknown
Credit_491,423,4,3,5,4,1,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,2,0,0,0,0,249.2297129938379,101.35798703413457,duckdb
Credit_8632,238,2,1,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3.8589220494031906,26.494182064197958,postgres
Credit_3068,101,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.33893308136612177,11.275978991761804,postgres
Credit_2642,563,5,4,5,5,1,1,0,1,0,0,0,8,0,0,0,0,0,0,1,0,3,0,1,0,0,-1,10937.755879946053,unknown
Credit_9334,344,3,2,1,3,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,unknown
Credit_2075,263,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
Credit_8514,436,5,4,4,4,1,0,1,1,0,0,1,8,0,0,0,0,0,0,1,0,2,0,1,0,0,2.402152051217854,50.03288097213954,postgres
Credit_443,306,2,1,4,3,1,0,1,1,0,0,0,2,0,0,0,0,0,0,1,1,2,0,1,0,0,-1,-1,unknown
Credit_4286,418,3,2,0,4,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,2.1102309692651033,25.71794600225985,postgres
