query_id,query_length,num_tables,num_joins,query_depth,complexity_score,has_aggregates,has_group_by,has_order_by,has_limit,has_distinct,has_window_functions,has_outer_joins,estimated_join_complexity,has_subqueries,has_correlated_subqueries,has_large_tables,all_tables_small,has_complex_expressions,has_user_functions,has_text_operations,has_numeric_heavy_ops,num_aggregate_funcs,analytical_pattern,transactional_pattern,etl_pattern,command_type,pg_time_ms,duck_time_ms,optimal_engine
tpch_sf1_1447,166,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.379975070245564,33.13044493552297,postgres
tpch_sf1_9806,142,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
tpch_sf1_7379,158,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3148219548165798,11.841861996799707,postgres
tpch_sf1_7368,354,1,0,5,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,-1,-1,unknown
tpch_sf1_1889,331,2,1,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
tpch_sf1_3815,230,1,0,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1673.1293520424515,449.35228000395,duckdb
tpch_sf1_9888,238,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
tpch_sf1_2688,215,2,1,5,2,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,1081.1947329202667,298.6030610045418,duckdb
tpch_sf1_5184,291,2,1,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
tpch_sf1_3885,201,2,1,2,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,unknown
