query_id,row_time,col_time,gap,use_imci,cost_threshold_label,hybrid_optimizer_label,fann_model_label,sqlQuery
0,54.814362,18.317470,36.496892,1,1,1,1,"SELECT part.p_brand, part.p_comment, part.p_partkey FROM part WHERE part.p_container = 'JUMBO CASE';"
2,0.002215,24.856046,24.853832,0,1,1,1,"SELECT lineitem.l_shipdate, COUNT(*) as agg_0, COUNT(*) as agg_1, COUNT(*) as agg_2 FROM orders JOIN lineitem ON orders.o_orderkey = lineitem.l_orderkey JOIN partsupp ON lineitem.l_partkey = partsupp.ps_partkey AND lineitem.l_suppkey = partsupp.ps_suppkey JOIN part ON partsupp.ps_partkey = part.p_partkey JOIN supplier ON partsupp.ps_suppkey = supplier.s_suppkey JOIN nation ON supplier.s_nationkey = nation.n_nationkey JOIN region ON nation.n_regionkey = region.r_regionkey JOIN customer ON orders.o_custkey = customer.c_custkey  WHERE lineitem.l_linestatus IN ('O') GROUP BY lineitem.l_shipdate ORDER BY lineitem.l_shipdate;"
13,17.306615,1.073271,16.233344,1,1,0,1,"SELECT orders.o_clerk, orders.o_custkey, orders.o_comment FROM orders WHERE orders.o_orderdate = '1997-04-29';"
16,0.163934,23.200357,23.036424,0,0,1,0,"SELECT lineitem.l_shipdate, SUM(partsupp.ps_supplycost) as agg_0, MAX(partsupp.ps_partkey + lineitem.l_tax) as agg_1 FROM lineitem JOIN partsupp ON lineitem.l_partkey = partsupp.ps_partkey AND lineitem.l_suppkey = partsupp.ps_suppkey  WHERE partsupp.ps_suppkey <= 409007.3495838723 AND lineitem.l_shipmode NOT LIKE '%SH%IP%' AND partsupp.ps_comment LIKE '%special,%' AND partsupp.ps_supplycost <= 562.8707865934709 AND lineitem.l_shipdate = '1994-05-10' AND lineitem.l_quantity >= 8.877705724547678 AND (lineitem.l_shipinstruct != 'DELIVER IN PERSON' OR lineitem.l_shipinstruct NOT LIKE '%B%ACK%') AND (lineitem.l_comment LIKE '%special%' OR lineitem.l_discount <= 0.05037769708969892) AND lineitem.l_linestatus IN ('O') AND partsupp.ps_availqty <= 1059.5589127304534 AND lineitem.l_commitdate != '1994-11-10' AND (lineitem.l_partkey <= 1296363.2156232921 OR lineitem.l_partkey >= 9400303.544153476) AND lineitem.l_returnflag = 'N' AND (lineitem.l_extendedprice <= 9700.79102504188 OR lineitem.l_discount <= 0.015450240458137348 OR lineitem.l_extendedprice <= 14562.465257830938) AND partsupp.ps_partkey <= 18157031.72594034 AND lineitem.l_linenumber <= 2.0 AND lineitem.l_receiptdate = '1994-07-02' GROUP BY lineitem.l_shipdate ORDER BY lineitem.l_shipdate;"
17,18.812234,1.238335,17.573899,1,1,0,1,"SELECT orders.o_comment, orders.o_orderpriority, orders.o_orderstatus FROM orders WHERE orders.o_orderdate = '1997-06-23';"
57,0.430715,11.943501,11.512786,0,0,1,0,"SELECT AVG(lineitem.l_tax + lineitem.l_quantity) as agg_0, COUNT(*) as agg_1, MAX(lineitem.l_partkey) as agg_2 FROM partsupp JOIN lineitem ON partsupp.ps_partkey = lineitem.l_partkey AND partsupp.ps_suppkey = lineitem.l_suppkey  WHERE partsupp.ps_availqty >= 8215.098638851163 AND (lineitem.l_linestatus IN ('F') OR (lineitem.l_discount <= 0.0012877588379508953 AND lineitem.l_linestatus IN ('O'))) AND lineitem.l_shipinstruct IN ('DELIVER IN PERSON', 'NONE', 'TAKE BACK RETURN') AND lineitem.l_receiptdate = '1995-04-22' AND partsupp.ps_supplycost <= 645.7112805686646 AND partsupp.ps_suppkey >= 241621.6453296978 AND lineitem.l_returnflag = 'R' AND lineitem.l_shipmode IN ('AIR') AND lineitem.l_shipinstruct = 'NONE' AND partsupp.ps_partkey >= 12177306.187479647 AND lineitem.l_quantity >= 21.020416747085118 AND lineitem.l_commitdate = '1992-07-04' AND lineitem.l_comment NOT LIKE '%qui%ckly%' AND lineitem.l_linestatus IN ('F', 'O') AND (lineitem.l_partkey <= 18122861.607220124 OR lineitem.l_extendedprice <= 47924.36725619267) AND lineitem.l_orderkey >= 14153245.704742083 AND lineitem.l_suppkey <= 611276.6715816116 AND lineitem.l_tax >= 0.010850006424296338;"
59,27.836774,11.818729,16.018046,1,1,0,1,"SELECT lineitem.l_shipmode, lineitem.l_commitdate, lineitem.l_shipinstruct FROM lineitem WHERE lineitem.l_shipdate = '1992-02-21';"
61,49.460211,2.528793,46.931418,1,1,1,1,"SELECT part.p_container, part.p_partkey, part.p_type FROM part WHERE part.p_container = 'JUMBO PACK';"
63,26.669888,0.019344,26.650544,1,1,1,1,"SELECT part.p_mfgr, AVG(region.r_regionkey) as agg_0, COUNT(*) as agg_1 FROM part JOIN partsupp ON part.p_partkey = partsupp.ps_partkey JOIN supplier ON partsupp.ps_suppkey = supplier.s_suppkey JOIN nation ON supplier.s_nationkey = nation.n_nationkey JOIN region ON nation.n_regionkey = region.r_regionkey  WHERE part.p_size >= 6.660240984480664 AND region.r_comment NOT LIKE '%even%' AND (partsupp.ps_supplycost >= 647.8094927304971 OR partsupp.ps_supplycost <= 108.29967593143618 OR partsupp.ps_supplycost <= 258.5748313709098) GROUP BY part.p_mfgr ORDER BY part.p_mfgr LIMIT 10;"
157,0.038007,56.090747,56.052740,0,1,1,1,"SELECT lineitem.l_linestatus, lineitem.l_receiptdate, lineitem.l_shipdate, SUM(orders.o_orderkey) as agg_0, SUM(lineitem.l_orderkey + lineitem.l_linenumber) as agg_1, COUNT(*) as agg_2 FROM orders JOIN lineitem ON orders.o_orderkey = lineitem.l_orderkey JOIN partsupp ON lineitem.l_partkey = partsupp.ps_partkey AND lineitem.l_suppkey = partsupp.ps_suppkey JOIN part ON partsupp.ps_partkey = part.p_partkey JOIN customer ON orders.o_custkey = customer.c_custkey JOIN supplier ON partsupp.ps_suppkey = supplier.s_suppkey  WHERE customer.c_mktsegment LIKE '%MAC%HINERY%' AND partsupp.ps_availqty <= 9603.371722709175 AND orders.o_orderstatus IN ('F', 'P') AND partsupp.ps_suppkey <= 321140.0957797292 AND lineitem.l_comment LIKE '%platelets%' AND customer.c_mktsegment IN ('HOUSEHOLD', 'AUTOMOBILE', 'FURNITURE', 'BUILDING', 'MACHINERY') AND (partsupp.ps_partkey >= 4412527.151437324 OR partsupp.ps_partkey >= 6678852.168425348) AND lineitem.l_returnflag IN ('R', 'A') AND part.p_container IN ('WRAP BAG', 'MED CAN', 'WRAP DRUM', 'LG JAR', 'LG PACK', 'SM CASE', 'JUMBO CAN') AND orders.o_orderdate = '1992-12-02' AND (customer.c_custkey <= 8188835.4801844545 OR customer.c_nationkey <= 2.47053477480464) AND lineitem.l_linestatus = 'O' GROUP BY lineitem.l_linestatus, lineitem.l_receiptdate, lineitem.l_shipdate ORDER BY lineitem.l_linestatus, lineitem.l_receiptdate, lineitem.l_shipdate;"
224,0.168270,37.959214,37.790944,0,1,1,1,"SELECT lineitem.l_returnflag, lineitem.l_commitdate, lineitem.l_linestatus, SUM(orders.o_shippriority + customer.c_custkey) as agg_0, MAX(lineitem.l_suppkey + lineitem.l_quantity) as agg_1, MIN(orders.o_custkey) as agg_2 FROM lineitem JOIN orders ON lineitem.l_orderkey = orders.o_orderkey JOIN customer ON orders.o_custkey = customer.c_custkey  WHERE lineitem.l_linestatus = 'O' AND (orders.o_comment LIKE '%bean%s%' OR orders.o_orderkey >= 294935477.84484327) AND lineitem.l_quantity <= 41.65342660835797 AND orders.o_orderdate != '1994-11-23' AND customer.c_mktsegment IN ('FURNITURE', 'HOUSEHOLD', 'MACHINERY', 'AUTOMOBILE', 'BUILDING') AND lineitem.l_returnflag IN ('A') AND customer.c_acctbal <= 6018.457101767166 AND customer.c_mktsegment IN ('AUTOMOBILE', 'HOUSEHOLD') AND (customer.c_custkey >= 6492514.823528978 OR customer.c_custkey >= 1121158.077425618) AND orders.o_orderstatus IN ('P') AND lineitem.l_orderkey >= 347033615.8060096 AND lineitem.l_shipmode = 'FOB' AND customer.c_nationkey >= 7.5283605884651426 AND orders.o_orderpriority NOT LIKE '%5-%LOW%' GROUP BY lineitem.l_returnflag, lineitem.l_commitdate, lineitem.l_linestatus ORDER BY lineitem.l_returnflag, lineitem.l_commitdate, lineitem.l_linestatus LIMIT 10;"
226,0.257183,16.330189,16.073006,0,1,1,1,"SELECT COUNT(*) as agg_0, AVG(lineitem.l_discount + orders.o_shippriority) as agg_1, MIN(orders.o_custkey + lineitem.l_quantity) as agg_2 FROM lineitem JOIN orders ON lineitem.l_orderkey = orders.o_orderkey  WHERE (orders.o_orderkey <= 150582408.0802354 OR orders.o_orderstatus = 'O') AND orders.o_comment LIKE '%final%,%' AND lineitem.l_returnflag IN ('A', 'N') AND lineitem.l_extendedprice >= 11144.96611179661 AND orders.o_orderpriority LIKE '%2%-HIGH%' AND lineitem.l_shipmode LIKE '%RAI%L%' AND (lineitem.l_commitdate != '1995-06-17' OR lineitem.l_quantity <= 13.551822421171098) AND lineitem.l_receiptdate = '1998-09-07' AND lineitem.l_shipmode LIKE '%SHIP%' AND lineitem.l_linestatus IN ('F') AND lineitem.l_linenumber >= 3.8523465548535 AND lineitem.l_suppkey <= 860477.7743544268 AND (orders.o_orderpriority = '2-HIGH' OR orders.o_orderpriority != '3-MEDIUM' OR orders.o_orderpriority = '1-URGENT') AND lineitem.l_shipinstruct LIKE '%PE%RSON%' AND orders.o_shippriority >= 0.0 HAVING MIN(orders.o_custkey + lineitem.l_quantity) >= 7500474.910074495;"
240,25.677355,1.072431,24.604924,1,1,1,1,"SELECT part.p_brand, part.p_retailprice, part.p_size FROM part WHERE part.p_type = 'LARGE BRUSHED TIN';"
250,17.320113,1.027448,16.292665,1,1,0,1,"SELECT orders.o_custkey, orders.o_orderpriority, orders.o_shippriority FROM orders WHERE orders.o_orderdate = '1995-03-28';"
251,29.233902,1.150668,28.083235,1,1,1,1,"SELECT part.p_type, part.p_retailprice, part.p_container FROM part WHERE part.p_type = 'ECONOMY PLATED NICKEL';"
255,26.372527,1.131104,25.241423,1,1,1,1,"SELECT part.p_mfgr, part.p_container, part.p_size FROM part WHERE part.p_type = 'PROMO POLISHED COPPER';"
269,0.147789,53.153256,53.005466,0,1,1,1,"SELECT AVG(lineitem.l_orderkey) as agg_0, MAX(partsupp.ps_supplycost + region.r_regionkey) as agg_1 FROM part JOIN partsupp ON part.p_partkey = partsupp.ps_partkey JOIN lineitem ON partsupp.ps_partkey = lineitem.l_partkey AND partsupp.ps_suppkey = lineitem.l_suppkey JOIN supplier ON partsupp.ps_suppkey = supplier.s_suppkey JOIN orders ON lineitem.l_orderkey = orders.o_orderkey JOIN nation ON supplier.s_nationkey = nation.n_nationkey JOIN region ON nation.n_regionkey = region.r_regionkey JOIN customer ON orders.o_custkey = customer.c_custkey  WHERE nation.n_comment = 'hely enticingly express accounts. even, final ' AND (lineitem.l_linestatus != 'O' OR (lineitem.l_linestatus IN ('O') AND lineitem.l_linestatus != 'F')) AND lineitem.l_comment LIKE '%blithely%' AND region.r_name = 'MIDDLE EAST' AND nation.n_name != 'INDONESIA' AND partsupp.ps_availqty >= 2996.052909622869 AND orders.o_orderstatus IN ('O') AND (part.p_mfgr = 'Manufacturer#4' OR (part.p_mfgr NOT LIKE '%Manufacturer#1%' AND part.p_mfgr IN ('Manufacturer#2', 'Manufacturer#1', 'Manufacturer#5', 'Manufacturer#4'))) AND orders.o_comment LIKE '%s%.%' AND nation.n_name != 'MOZAMBIQUE' AND customer.c_nationkey <= 14.586976592794496 AND lineitem.l_shipdate = '1996-10-28' AND partsupp.ps_partkey <= 8422310.034625033;"
294,38.065489,10.373996,27.691494,1,1,0,1,"SELECT orders.o_comment, orders.o_totalprice, orders.o_orderpriority FROM orders WHERE orders.o_orderdate = '1995-04-26';"
